,paragraf,inkraftdatum,length
2057,§ 149 Aktiengesetz,1966-01-01,1339.0
2058,§ 152 Aktiengesetz,1966-01-01,1392.0
2059,§ 153 Aktiengesetz,1966-01-01,1061.0
2060,§ 154 Aktiengesetz,1966-01-01,299.0
2061,§ 156 Aktiengesetz,1966-01-01,139.0
2062,§ 157 Aktiengesetz,1966-01-01,372.0
2063,§ 158 Aktiengesetz,1966-01-01,413.0
2064,§ 159 Aktiengesetz,1966-01-01,966.0
2065,§ 160 Aktiengesetz,1966-01-01,571.0
2066,§ 161 Aktiengesetz,1966-01-01,1042.0
2067,§ 163 Aktiengesetz,1966-01-01,385.0
2068,§ 1 Agrarverfahrensgesetz,1967-03-08,441.0
2069,§ 2 Agrarverfahrensgesetz,1967-03-08,373.0
2070,§ 15 Agrarverfahrensgesetz,1967-03-08,985.0
2071,§ 255 Allgemeines bürgerliches Gesetzbuch,1967-04-01,256.0
2072,§ 37a Allgemeines Sozialversicherungsgesetz,1967-07-01,281.0
2073,Art. 2 Allgemeines Sozialversicherungsgesetz,1967-01-01,5174.0
2074,Art. 3 Allgemeines Sozialversicherungsgesetz,1967-01-01,1871.0
2075,Art. 3 Allgemeines Sozialversicherungsgesetz,1967-06-01,1003.0
2076,Art. 4 Allgemeines Sozialversicherungsgesetz,1967-01-01,846.0
2077,§ 6 Ausgleichsabgabegesetz,1967-10-01,734.0
2078,§ 8 Ausgleichsabgabegesetz,1967-10-01,60.0
2079,§ 1 Äußere Rechtsverhältnisse der griechisch-orientalischen Kirche in Österreich,1967-07-15,1123.0
2080,§ 2 Äußere Rechtsverhältnisse der griechisch-orientalischen Kirche in Österreich,1967-07-15,924.0
2081,§ 3 Äußere Rechtsverhältnisse der griechisch-orientalischen Kirche in Österreich,1967-07-15,1345.0
2082,§ 4 Äußere Rechtsverhältnisse der griechisch-orientalischen Kirche in Österreich,1967-07-15,693.0
2083,§ 5 Äußere Rechtsverhältnisse der griechisch-orientalischen Kirche in Österreich,1967-07-15,627.0
2084,§ 6 Äußere Rechtsverhältnisse der griechisch-orientalischen Kirche in Österreich,1967-07-15,606.0
2085,§ 7 Äußere Rechtsverhältnisse der griechisch-orientalischen Kirche in Österreich,1967-07-15,1644.0
2086,§ 8 Äußere Rechtsverhältnisse der griechisch-orientalischen Kirche in Österreich,1967-07-15,1380.0
2087,§ 9 Äußere Rechtsverhältnisse der griechisch-orientalischen Kirche in Österreich,1967-07-15,1801.0
2088,§ 10 Äußere Rechtsverhältnisse der griechisch-orientalischen Kirche in Österreich,1967-07-15,1391.0
2089,§ 11 Äußere Rechtsverhältnisse der griechisch-orientalischen Kirche in Österreich,1967-07-15,246.0
2090,§ 12 Äußere Rechtsverhältnisse der griechisch-orientalischen Kirche in Österreich,1967-07-15,1804.0
2091,§ 13 Äußere Rechtsverhältnisse der griechisch-orientalischen Kirche in Österreich,1967-07-15,827.0
2092,§ 14 Äußere Rechtsverhältnisse der griechisch-orientalischen Kirche in Österreich,1967-07-15,213.0
2093,§ 7 Außerstreitgesetz,1967-07-01,319.0
2094,§ 19 Außerstreitgesetz,1967-07-01,1509.0
2095,§ 11 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,369.0
2096,§ 15 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,265.0
2097,§ 18 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,330.0
2098,§ 30 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,172.0
2099,§ 31 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,270.0
2100,§ 33 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,960.0
2101,§ 40 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,885.0
2102,§ 42 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,436.0
2103,§ 54 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,380.0
2104,§ 61 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,411.0
2105,§ 73 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,278.0
2106,§ 77 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,343.0
2107,§ 80 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,72.0
2108,§ 97 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,316.0
2109,§ 99 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,630.0
2110,§ 100 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,1344.0
2111,§ 102 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,265.0
2112,§ 103 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,750.0
2113,§ 109 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,370.0
2114,§ 116 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,377.0
2115,§ 126 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,608.0
2116,§ 127 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,182.0
2117,§ 161 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,1034.0
2118,§ 162 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,221.0
2119,§ 163 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,400.0
2120,§ 164 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,2474.0
2121,§ 165 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,1380.0
2122,§ 166 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,230.0
2123,§ 167 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,215.0
2124,§ 168 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,1004.0
2125,§ 169 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,274.0
2126,§ 170 Beamten-Kranken- und Unfallversicherungsgesetz,1967-07-01,1566.0
2127,§ 1 Bundes-Gemeindeaufsichtsgesetz,1967-04-06,949.0
2128,§ 2 Bundes-Gemeindeaufsichtsgesetz,1967-04-06,636.0
2129,§ 3 Bundes-Gemeindeaufsichtsgesetz,1967-04-06,780.0
2130,§ 4 Bundes-Gemeindeaufsichtsgesetz,1967-04-06,291.0
2131,§ 5 Bundes-Gemeindeaufsichtsgesetz,1967-04-06,245.0
2132,§ 6 Bundes-Gemeindeaufsichtsgesetz,1967-04-06,894.0
2133,§ 7 Bundes-Gemeindeaufsichtsgesetz,1967-04-06,1781.0
2134,§ 8 Bundes-Gemeindeaufsichtsgesetz,1967-04-06,445.0
2135,§ 9 Bundes-Gemeindeaufsichtsgesetz,1967-04-06,1343.0
2136,§ 10 Bundes-Gemeindeaufsichtsgesetz,1967-04-06,495.0
2137,§ 11 Bundes-Gemeindeaufsichtsgesetz,1967-04-06,746.0
2138,§ 12 Bundes-Gemeindeaufsichtsgesetz,1967-04-06,1418.0
2139,§ 13 Bundes-Gemeindeaufsichtsgesetz,1967-04-06,614.0
2140,§ 14 Bundes-Gemeindeaufsichtsgesetz,1967-04-06,291.0
2141,Art. 1 Bundesgesetz über den österreichischen Nationalfeiertag,1967-07-26,70.0
2142,Art. 2 Bundesgesetz über den österreichischen Nationalfeiertag,1967-07-26,97.0
2143,Art. 3 Bundesgesetz über den österreichischen Nationalfeiertag,1967-07-26,113.0
2144,Art. 4 Bundesgesetz über den österreichischen Nationalfeiertag,1967-07-26,88.0
2145,§ 7 Bundes-Personalvertretungsgesetz,1967-04-14,142.0
2146,§ 17 Bundes-Personalvertretungsgesetz,1967-04-14,487.0
2147,§ 18 Bundes-Personalvertretungsgesetz,1967-04-14,506.0
2148,§ 32 Bundes-Personalvertretungsgesetz,1967-04-14,349.0
2149,§ 33 Bundes-Personalvertretungsgesetz,1967-04-14,58.0
2150,§ 34 Bundes-Personalvertretungsgesetz,1967-04-14,727.0
2151,§ 44 Bundes-Personalvertretungsgesetz,1967-04-14,421.0
2152,"§ 1 Energieanleihegesetz 1967, Haftungsübernahme - Verbundgesellschaft",1967-05-13,3108.0
2153,"§ 2 Energieanleihegesetz 1967, Haftungsübernahme - Verbundgesellschaft",1967-05-13,257.0
2154,"§ 3 Energieanleihegesetz 1967, Haftungsübernahme - Verbundgesellschaft",1967-05-13,97.0
2155,"§ 7 Errichtung eines Familienpolitischen Beirates beim Bundesministerium für Familie, Jugend und Konsumentenschutz",1967-03-25,114.0
2156,"§ 8 Errichtung eines Familienpolitischen Beirates beim Bundesministerium für Familie, Jugend und Konsumentenschutz",1967-03-25,163.0
2157,"§ 9 Errichtung eines Familienpolitischen Beirates beim Bundesministerium für Familie, Jugend und Konsumentenschutz",1967-03-25,227.0
2158,"§ 11 Errichtung eines Familienpolitischen Beirates beim Bundesministerium für Familie, Jugend und Konsumentenschutz",1967-03-25,286.0
2159,§ 30 Exekutionsordnung,1967-07-01,591.0
2160,Art. 1 § 1 Feiertagsruhegesetz 1957,1967-07-26,590.0
2161,§ 4 Finanzierung der Autobahn Innsbruck–Brenner,1967-07-15,343.0
2162,Art. 1 § 6 Flurverfassungs-Grundsatzgesetz 1951,1967-03-08,576.0
2163,Art. 1 § 9 Flurverfassungs-Grundsatzgesetz 1951,1967-03-08,991.0
2164,Art. 1 § 22 Flurverfassungs-Grundsatzgesetz 1951,1967-03-08,1149.0
2165,Art. 1 § 31 Flurverfassungs-Grundsatzgesetz 1951,1967-03-08,1087.0
2166,Art. 1 § 32 Flurverfassungs-Grundsatzgesetz 1951,1967-03-08,177.0
2167,Art. 1 § 34 Flurverfassungs-Grundsatzgesetz 1951,1967-03-08,2534.0
2168,§ 56 Allgemeines Sozialversicherungsgesetz,1968-01-01,1027.0
2169,§ 126 Allgemeines Sozialversicherungsgesetz,1968-01-01,999.0
2170,§ 165 Allgemeines Sozialversicherungsgesetz,1968-01-01,266.0
2171,Art. 2 Allgemeines Sozialversicherungsgesetz,1968-07-01,611.0
2172,Art. 3 Allgemeines Sozialversicherungsgesetz,1968-01-01,4679.0
2173,Art. 4 Allgemeines Sozialversicherungsgesetz,1968-01-01,2112.0
2174,Art. 5 Allgemeines Sozialversicherungsgesetz,1968-01-01,1438.0
2175,§ 78 Allgemeines Verwaltungsverfahrensgesetz,1968-02-01,1945.0
2176,Art. 2 Allgemeines Verwaltungsverfahrensgesetz,1968-02-01,925.0
2177,§ 9 Anfechtungsordnung,1968-07-01,1060.0
2178,Art. 1 § 1 Anstellungserfordernisse-Grundsatzgesetz,1968-12-04,1285.0
2179,Art. 1 § 2 Anstellungserfordernisse-Grundsatzgesetz,1968-12-04,206.0
2180,Art. 1 § 3 Anstellungserfordernisse-Grundsatzgesetz,1968-12-04,1959.0
2181,Art. 1 § 4 Anstellungserfordernisse-Grundsatzgesetz,1968-12-04,444.0
2182,Art. 2 Anstellungserfordernisse-Grundsatzgesetz,1968-12-04,385.0
2183,§ 1 Apostillegesetz,1968-01-13,236.0
2184,§ 2 Apostillegesetz,1968-01-13,182.0
2185,§ 3 Apostillegesetz,1968-01-13,1703.0
2186,§ 4 Apostillegesetz,1968-01-13,118.0
2187,§ 5 Apostillegesetz,1968-01-13,161.0
2188,Anl. 1 Apostillegesetz,1968-01-13,4.0
2189,Art. 1 § 2 Aufenthaltsberechtigung für Flüchtlinge,1968-04-18,750.0
2190,Art. 1 § 3 Aufenthaltsberechtigung für Flüchtlinge,1968-04-18,329.0
2191,Art. 1 § 5 Aufenthaltsberechtigung für Flüchtlinge,1968-04-18,1411.0
2192,Art. 1 § 6 Aufenthaltsberechtigung für Flüchtlinge,1968-04-18,774.0
2193,Art. 1 § 9 Aufenthaltsberechtigung für Flüchtlinge,1968-04-18,889.0
2194,Art. 1 § 10 Aufenthaltsberechtigung für Flüchtlinge,1968-04-18,466.0
2195,Art. 1 § 11 Aufenthaltsberechtigung für Flüchtlinge,1968-04-18,249.0
2196,Art. 1 § 12 Aufenthaltsberechtigung für Flüchtlinge,1968-04-18,1042.0
2197,Art. 1 § 13 Aufenthaltsberechtigung für Flüchtlinge,1968-04-18,163.0
2198,Art. 2 Aufenthaltsberechtigung für Flüchtlinge,1968-04-18,259.0
2199,Art. 3 Aufenthaltsberechtigung für Flüchtlinge,1968-04-18,105.0
2200,Anl. 1 Aufenthaltsberechtigung für Flüchtlinge,1968-04-18,183.0
2201,§ 1 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,50.0
2202,§ 2 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,51.0
2203,§ 4 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,51.0
2204,§ 5 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,51.0
2205,§ 6 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,51.0
2206,§ 7 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,51.0
2207,§ 8 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,51.0
2208,§ 9 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,51.0
2209,§ 10 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,52.0
2210,§ 11 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,52.0
2211,§ 12 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,52.0
2212,§ 13 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,52.0
2213,§ 14 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,171.0
2214,§ 16 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,52.0
2215,§ 17 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,52.0
2216,§ 18 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,52.0
2217,§ 19 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,309.0
2218,§ 20 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,52.0
2219,§ 22 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,52.0
2220,§ 23 Ausgestaltung des Staatlichen Wohnungsfürsorgefonds zu einem Bundes-Wohn- und Siedlungsfonds,1968-01-01,52.0
2221,§ 1 Ausgleichszustimmung Arland Papier- und Zellstoff-Fabriken AG,1968-01-10,379.0
2222,§ 2 Ausgleichszustimmung Arland Papier- und Zellstoff-Fabriken AG,1968-01-10,159.0
2223,§ 156 Außerstreitgesetz,1968-01-01,182.0
2224,Art. 4 Beamten-Kranken- und Unfallversicherungsgesetz,1968-07-01,249.0
2225,§ 2 Bundesgesetz betreffend die Änderung und Ergänzung des Kleinrentnergesetzes,1968-01-01,583.0
2226,§ 1 Bundesgesetz mit dem Schenkungen an die Stiftung „Islamisches Zentrum“ von der Schenkungssteuer befreit werden,1968-04-03,559.0
2227,§ 2 Bundesgesetz mit dem Schenkungen an die Stiftung „Islamisches Zentrum“ von der Schenkungssteuer befreit werden,1968-04-03,212.0
2228,§ 12 Eisenbahn- und Kraftfahrzeughaftpflichtgesetz,1968-03-01,1102.0
2229,§ 13 Eisenbahn- und Kraftfahrzeughaftpflichtgesetz,1968-03-01,537.0
2230,§ 22 Eisenbahn- und Kraftfahrzeughaftpflichtgesetz,1968-03-01,2177.0
2231,§ 24 Eisenbahn- und Kraftfahrzeughaftpflichtgesetz,1968-03-01,516.0
2232,Art. 2 Eisenbahn- und Kraftfahrzeughaftpflichtgesetz,1968-03-01,279.0
2233,"§ 1 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,829.0
2234,"§ 2 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,449.0
2235,"§ 3 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,550.0
2236,"§ 4 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,684.0
2237,"§ 5 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,434.0
2238,"§ 6 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,538.0
2239,"§ 7 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,1101.0
2240,"§ 8 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,125.0
2241,"§ 9 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,1126.0
2242,"§ 10 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,257.0
2243,"§ 11 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,510.0
2244,"§ 12 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,3009.0
2245,"§ 13 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,164.0
2246,"§ 14 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,767.0
2247,"§ 15 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,206.0
2248,"§ 16 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,181.0
2249,"§ 17 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,679.0
2250,"§ 18 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,120.0
2251,"§ 19 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,760.0
2252,"§ 20 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,545.0
2253,"§ 21 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,259.0
2254,"§ 22 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,295.0
2255,"§ 23 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,315.0
2256,"§ 24 Elektrische Leitungsanlagen, die sich nicht auf zwei oder mehrere Bundesländer erstrecken",1968-03-01,407.0
2257,"§ 1 Energieanleihegesetz 1968, Haftungsübernahme - Verbundgesellschaft",1968-07-06,2672.0
2258,"§ 2 Energieanleihegesetz 1968, Haftungsübernahme - Verbundgesellschaft",1968-07-06,255.0
2259,"§ 3 Energieanleihegesetz 1968, Haftungsübernahme - Verbundgesellschaft",1968-07-06,97.0
2260,Art. 1 Energiewirtschaftsrecht - Einführung in Österreich,1968-03-01,418.0
2261,Art. 2 Energiewirtschaftsrecht - Einführung in Österreich,1968-03-01,224.0
2262,Art. 3 Energiewirtschaftsrecht - Einführung in Österreich,1968-03-01,1794.0
2263,Art. 4 Energiewirtschaftsrecht - Einführung in Österreich,1968-03-01,1111.0
2264,Art. 5 Energiewirtschaftsrecht - Einführung in Österreich,1968-03-01,410.0
2265,Art. 6 Energiewirtschaftsrecht - Einführung in Österreich,1968-03-01,201.0
2266,§ 1a Epidemiegesetz 1950,1968-07-01,81.0
2267,§ 8 Erbschafts- und Schenkungssteuergesetz 1955,1968-01-13,2457.0
2268,§ 5 Abgabe auf bestimmte Stärkeerzeugnisse,1969-05-21,372.0
2269,§ 6 Abgabe auf bestimmte Stärkeerzeugnisse,1969-05-21,1059.0
2270,§ 7 Abgabe auf bestimmte Stärkeerzeugnisse,1969-05-21,854.0
2271,§ 8 Abgabe auf bestimmte Stärkeerzeugnisse,1969-05-21,1311.0
2272,§ 9 Abgabe auf bestimmte Stärkeerzeugnisse,1969-05-21,681.0
2273,§ 10 Abgabe auf bestimmte Stärkeerzeugnisse,1969-05-21,229.0
2274,§ 11 Abgabe auf bestimmte Stärkeerzeugnisse,1969-05-21,199.0
2275,§ 12 Abgabe auf bestimmte Stärkeerzeugnisse,1969-05-21,122.0
2276,§ 13 Abgabe auf bestimmte Stärkeerzeugnisse,1969-05-21,260.0
2277,§ 1 Aktienverkauf - Petrochemie Schwechat AG,1969-02-05,289.0
2278,§ 2 Aktienverkauf - Petrochemie Schwechat AG,1969-02-05,100.0
2279,§ 845 Allgemeines bürgerliches Gesetzbuch,1969-01-01,159.0
2280,§ 853a Allgemeines bürgerliches Gesetzbuch,1969-01-01,138.0
2281,§ 5 Allgemeines Grundbuchsanlegungsgesetz,1969-01-01,1157.0
2282,§ 119 Allgemeines Grundbuchsgesetz 1955,1969-01-01,1264.0
2283,§ 520 Allgemeines Sozialversicherungsgesetz,1969-01-01,294.0
2284,Art. 2 Allgemeines Sozialversicherungsgesetz,1969-03-01,10293.0
2285,Art. 3 Allgemeines Sozialversicherungsgesetz,1969-01-01,780.0
2286,§ 2 Arbeitsmarktförderungsgesetz,1969-01-01,245.0
2287,§ 7 Arbeitsmarktförderungsgesetz,1969-01-01,814.0
2288,§ 8 Arbeitsmarktförderungsgesetz,1969-01-01,394.0
2289,§ 11 Arbeitsmarktförderungsgesetz,1969-01-01,675.0
2290,§ 13 Arbeitsmarktförderungsgesetz,1969-01-01,799.0
2291,§ 15 Arbeitsmarktförderungsgesetz,1969-01-01,291.0
2292,§ 38 Arbeitsmarktförderungsgesetz,1969-01-01,2790.0
2293,§ 49 Arbeitsmarktförderungsgesetz,1969-01-01,437.0
2294,§ 50 Arbeitsmarktförderungsgesetz,1969-01-01,547.0
2295,§ 2 Ausübung der Gerichtsbarkeit bei den Oberlandesgerichten,1969-01-01,80.0
2296,§ 1 Bauschbeträge für Kosten des Mündels in gerichtlichen Verfahren,1969-07-01,1058.0
2297,§ 2 Bauschbeträge für Kosten des Mündels in gerichtlichen Verfahren,1969-07-01,348.0
2298,§ 3 Bauschbeträge für Kosten des Mündels in gerichtlichen Verfahren,1969-07-01,98.0
2299,Art. 2 Beamten-Kranken- und Unfallversicherungsgesetz,1969-01-01,825.0
2300,§ 51 Behörden-Überleitungsgesetz,1969-06-14,324.0
2301,§ 3 Bewährungshilfegesetz,1969-07-01,1029.0
2302,§ 6 Bewährungshilfegesetz,1969-07-01,224.0
2303,§ 7 Bewährungshilfegesetz,1969-07-01,1017.0
2304,§ 8 Bewährungshilfegesetz,1969-07-01,464.0
2305,§ 9 Bewährungshilfegesetz,1969-07-01,320.0
2306,§ 10 Bewährungshilfegesetz,1969-07-01,278.0
2307,§ 11 Bewährungshilfegesetz,1969-07-01,149.0
2308,§ 15 Bewährungshilfegesetz,1969-07-01,703.0
2309,§ 17 Bewährungshilfegesetz,1969-07-01,921.0
2310,§ 18 Bewährungshilfegesetz,1969-07-01,175.0
2311,§ 21 Bewährungshilfegesetz,1969-07-01,547.0
2312,§ 31 Bewährungshilfegesetz,1969-07-01,105.0
2313,§ 1 Boden-Credit-Anstalts-Gesetz,1969-11-30,605.0
2314,§ 48 Bundesabgabenordnung,1969-05-09,554.0
2315,§ 96 Bundesabgabenordnung,1969-05-09,696.0
2316,§ 204 Bundesabgabenordnung,1969-05-09,547.0
2317,§ 270 Bundesabgabenordnung,1969-05-09,1058.0
2318,§ 280 Bundesabgabenordnung,1969-05-09,237.0
2319,§ 13 Eisenbahn-Enteignungsentschädigungsgesetz,1969-12-31,751.0
2320,§ 13a Eisenbahngesetz 1957,1969-12-31,199.0
2321,"§ 1 Energieanleihegesetz 1969, Haftungsübernahme - Verbundgesellschaft",1969-04-11,3383.0
2322,"§ 2 Energieanleihegesetz 1969, Haftungsübernahme - Verbundgesellschaft",1969-04-11,255.0
2323,"§ 3 Energieanleihegesetz 1969, Haftungsübernahme - Verbundgesellschaft",1969-04-11,100.0
2324,Art. 1 § 1 Förderung - Kartoffelverwertung (Stärkeförderungsgesetz 1969),1969-05-24,274.0
2325,Art. 1 § 2 Förderung - Kartoffelverwertung (Stärkeförderungsgesetz 1969),1969-05-24,260.0
2326,Art. 1 § 3 Förderung - Kartoffelverwertung (Stärkeförderungsgesetz 1969),1969-05-24,87.0
2327,Art. 1 § 4 Förderung - Kartoffelverwertung (Stärkeförderungsgesetz 1969),1969-05-24,97.0
2328,Art. 2 § 5 Förderung - Kartoffelverwertung (Stärkeförderungsgesetz 1969),1969-05-24,207.0
2329,§ 5 Förderung der Finanzierung von Entwicklungs- und Erneuerungsinvestitionen,1969-02-22,2041.0
2330,§ 1 Forderungsverzicht gegen Bleiberger Bergwerks-Union,1969-02-05,1492.0
2331,§ 2 Forderungsverzicht gegen Bleiberger Bergwerks-Union,1969-02-05,188.0
2332,§ 1 Forderungsverzicht gegen Hofherr-Schrantz AG und Trauzl Werke AG,1969-07-01,1673.0
2333,§ 2 Forderungsverzicht gegen Hofherr-Schrantz AG und Trauzl Werke AG,1969-07-01,180.0
2334,§ 1 Forderungsverzicht gegen Seidenweberei Hans Janisch KG,1969-02-05,240.0
2335,§ 2 Forderungsverzicht gegen Seidenweberei Hans Janisch KG,1969-02-05,100.0
2336,§ 21 Gehaltsgesetz 1956,1969-09-01,1892.0
2337,Art. 2 Gehaltsgesetz 1956,1969-03-01,384.0
2338,Art. 2 Gehaltsgesetz 1956,1969-03-01,3782.0
2339,Art. 3 Gehaltsgesetz 1956,1969-03-01,4602.0
2340,Art. 4 Gehaltsgesetz 1956,1969-03-01,752.0
2341,Art. 4 Gehaltsgesetz 1956,1969-10-01,633.0
2342,Art. 5 Gehaltsgesetz 1956,1969-03-01,542.0
2343,§ 12 Gendarmerie der im Reichsrate vertretenen Königreiche und Länder,1969-09-01,70.0
2344,§ 3 Gerichtsverfassungsnovelle 1947,1969-01-01,295.0
2345,§ 36a Gewerbesteuergesetz 1953,1969-12-31,117.0
2346,§ 3 Gewerbestrukturverbesserungsgesetz 1969,1969-12-20,394.0
2347,§ 4 Gewerbestrukturverbesserungsgesetz 1969,1969-12-20,854.0
2348,§ 5 Gewerbestrukturverbesserungsgesetz 1969,1969-12-20,97.0
2349,§ 7 Gewerbestrukturverbesserungsgesetz 1969,1969-12-20,922.0
2350,§ 8 Gewerbestrukturverbesserungsgesetz 1969,1969-12-20,2505.0
2351,§ 9 Gewerbestrukturverbesserungsgesetz 1969,1969-12-20,171.0
2352,§ 11 Gewerbestrukturverbesserungsgesetz 1969,1969-12-20,407.0
2353,§ 12 Gewerbestrukturverbesserungsgesetz 1969,1969-12-20,248.0
2354,§ 2 Grunderwerbsteuergesetz 1955,1969-08-01,835.0
2355,§ 3 Grunderwerbsteuergesetz 1955,1969-08-01,2179.0
